SVC_CD|FEE
P2031|4.95
P2033|4.95
P2038|4.95
P3000|18.19
P9612|9.09
P9615|9.09
Q0111|18.19
Q0112|5.83
Q0113|4.27
Q0114|9.74
Q0115|25
U0001|35.92
U0002|51.31
U0002|51.31
