CPT Code,CPT Descriptor,Base Unit Value
00792,ANESTH HEMORR/EXCISE LIVER              ,11.74
00794,ANESTH PANCREAS REMOVAL                 ,7.22
00796,ANESTH FOR LIVER TRANSPLANT             ,27.09
00797,ANESTH SURGERY FOR OBESITY              ,7.22
00800,ANESTH ABDOMINAL WALL SURG              ,2.71
00802,ANESTH FAT LAYER REMOVAL                ,4.52
00811,ANES LWR INTST NDSC NOS                 ,4.0
00812,ANES LWR INTST SCR COLSC                ,3.0
00813,ANES UPR LWR GI NDSC PX                 ,5.0
00820,ANESTH ABDOMINAL WALL SURG              ,4.52
00830,ANESTH REPAIR OF HERNIA                 ,3.61
00832,ANESTH REPAIR OF HERNIA                 ,5.42
00834,ANESTH HERNIA REPAIR < 1 YR             ,4.52
00836,ANESTH HERNIA REPAIR PREEMIE            ,5.42
00840,ANESTH SURG LOWER ABDOMEN               ,5.42
00842,ANESTH AMNIOCENTESIS                    ,3.61
00844,ANESTH PELVIS SURGERY                   ,6.32
00846,ANESTH HYSTERECTOMY                     ,7.22
00848,ANESTH PELVIC ORGAN SURG                ,7.22
00851,ANESTH TUBAL LIGATION                   ,5.42
00860,ANESTH SURGERY OF ABDOMEN               ,5.42
00862,ANESTH KIDNEY/URETER SURG               ,6.32
00864,ANESTH REMOVAL OF BLADDER               ,7.22
00865,ANESTH REMOVAL OF PROSTATE              ,6.32
00866,ANESTH REMOVAL OF ADRENAL               ,9.03
00868,ANESTH KIDNEY TRANSPLANT                ,9.03
00870,ANESTH BLADDER STONE SURG               ,4.52
00872,ANESTH KIDNEY STONE DESTRUCT            ,6.32
00873,ANESTH KIDNEY STONE DESTRUCT            ,6.32
00880,ANESTH ABDOMEN VESSEL SURG              ,13.55
00882,ANESTH MAJOR VEIN LIGATION              ,9.03
00902,ANESTH ANORECTAL SURGERY                ,3.61
00904,ANESTH PERINEAL SURGERY                 ,6.32
00906,ANESTH REMOVAL OF VULVA                 ,3.61
00908,ANESTH REMOVAL OF PROSTATE              ,5.42
00910,ANESTH BLADDER SURGERY                  ,2.71
00912,ANESTH BLADDER TUMOR SURG               ,4.52
00914,ANESTH REMOVAL OF PROSTATE              ,4.52
00916,ANESTH BLEEDING CONTROL                 ,4.52
00918,ANESTH STONE REMOVAL                    ,4.52
00920,ANESTH GENITALIA SURGERY                ,2.71
00921,ANESTH VASECTOMY                        ,2.71
00922,ANESTH SPERM DUCT SURGERY               ,5.42
00924,ANESTH TESTIS EXPLORATION               ,3.61
00926,ANESTH REMOVAL OF TESTIS                ,3.61
00928,ANESTH REMOVAL OF TESTIS                ,5.42
00930,ANESTH TESTIS SUSPENSION                ,3.61
00932,ANESTH AMPUTATION OF PENIS              ,3.61
00934,ANESTH PENIS NODES REMOVAL              ,5.42
00936,ANESTH PENIS NODES REMOVAL              ,7.22
00938,ANESTH INSERT PENIS DEVICE              ,3.61
00940,ANESTH VAGINAL PROCEDURES               ,2.71
00942,ANESTH SURG ON VAG/URETHRAL             ,3.61
00944,ANESTH VAGINAL HYSTERECTOMY             ,5.42
00948,ANESTH REPAIR OF CERVIX                 ,3.61
00950,ANESTH VAGINAL ENDOSCOPY                ,4.52
00952,ANESTH HYSTEROSCOPE/GRAPH               ,3.61
01112,ANESTH BONE ASPIRATE/BX                 ,4.52
01120,ANESTH PELVIS SURGERY                   ,5.42
01130,ANESTH BODY CAST PROCEDURE              ,2.71
01140,ANESTH AMPUTATION AT PELVIS             ,13.55
01150,ANESTH PELVIC TUMOR SURGERY             ,7.22
01160,ANESTH PELVIS PROCEDURE                 ,3.61
01170,ANESTH PELVIS SURGERY                   ,7.22
01173,ANESTH FX REPAIR PELVIS                 ,10.84
01200,ANESTH HIP JOINT PROCEDURE              ,3.61
01202,ANESTH ARTHROSCOPY OF HIP               ,3.61
01210,ANESTH HIP JOINT SURGERY                ,5.42
01212,ANESTH HIP DISARTICULATION              ,9.03
01214,ANESTH HIP ARTHROPLASTY                 ,9.03
01215,ANESTH REVISE HIP REPAIR                ,9.03
01220,ANESTH PROCEDURE ON FEMUR               ,3.61
01230,ANESTH SURGERY OF FEMUR                 ,5.42
01232,ANESTH AMPUTATION OF FEMUR              ,4.52
01234,ANESTH RADICAL FEMUR SURG               ,7.22
01250,ANESTH UPPER LEG SURGERY                ,3.61
01260,ANESTH UPPER LEG VEINS SURG             ,2.71
01270,ANESTH THIGH ARTERIES SURG              ,7.22
01272,ANESTH FEMORAL ARTERY SURG              ,3.61
01274,ANESTH FEMORAL EMBOLECTOMY              ,5.42
01320,ANESTH KNEE AREA SURGERY                ,3.61
01340,ANESTH KNEE AREA PROCEDURE              ,3.61
01360,ANESTH KNEE AREA SURGERY                ,4.52
01380,ANESTH KNEE JOINT PROCEDURE             ,2.71
01382,ANESTH DX KNEE ARTHROSCOPY              ,2.71
01390,ANESTH KNEE AREA PROCEDURE              ,2.71
01392,ANESTH KNEE AREA SURGERY                ,3.61
01400,ANESTH KNEE JOINT SURGERY               ,3.61
01402,ANESTH KNEE ARTHROPLASTY                ,6.32
01404,ANESTH AMPUTATION AT KNEE               ,4.52
01420,ANESTH KNEE JOINT CASTING               ,2.71
01430,ANESTH KNEE VEINS SURGERY               ,2.71
01432,ANESTH KNEE VESSEL SURG                 ,5.42
01440,ANESTH KNEE ARTERIES SURG               ,4.52
01442,ANESTH KNEE ARTERY SURG                 ,7.22
01444,ANESTH KNEE ARTERY REPAIR               ,7.22
01462,ANESTH LOWER LEG PROCEDURE              ,2.71
01464,ANESTH ANKLE/FT ARTHROSCOPY             ,2.71
01470,ANESTH LOWER LEG SURGERY                ,2.71
01472,ANESTH ACHILLES TENDON SURG             ,4.52
01474,ANESTH LOWER LEG SURGERY                ,4.52
01480,ANESTH LOWER LEG BONE SURG              ,2.71
01482,ANESTH RADICAL LEG SURGERY              ,3.61
01484,ANESTH LOWER LEG REVISION               ,3.61
01486,ANESTH ANKLE REPLACEMENT                ,6.32
01490,ANESTH LOWER LEG CASTING                ,2.71
01500,ANESTH LEG ARTERIES SURG                ,7.22
01502,ANESTH LWR LEG EMBOLECTOMY              ,5.42
01520,ANESTH LOWER LEG VEIN SURG              ,2.71
01522,ANESTH LOWER LEG VEIN SURG              ,4.52
01610,ANESTH SURGERY OF SHOULDER              ,4.52
01620,ANESTH SHOULDER PROCEDURE               ,3.61
01622,ANES DX SHOULDER ARTHROSCOPY            ,3.61
01630,ANESTH SURGERY OF SHOULDER              ,4.52
01634,ANESTH SHOULDER JOINT AMPUT             ,8.13
01636,ANESTH FOREQUARTER AMPUT                ,13.55
01638,ANESTH SHOULDER REPLACEMENT             ,9.03
01650,ANESTH SHOULDER ARTERY SURG             ,5.42
01652,ANESTH SHOULDER VESSEL SURG             ,9.03
01654,ANESTH SHOULDER VESSEL SURG             ,7.22
01656,ANESTH ARM-LEG VESSEL SURG              ,9.03
01670,ANESTH SHOULDER VEIN SURG               ,3.61
01680,ANESTH SHOULDER CASTING                 ,2.71
01710,ANESTH ELBOW AREA SURGERY               ,2.71
01712,ANESTH UPPR ARM TENDON SURG             ,4.52
01714,ANESTH UPPR ARM TENDON SURG             ,4.52
01716,ANESTH BICEPS TENDON REPAIR             ,4.52
01730,ANESTH UPPR ARM PROCEDURE               ,2.71
01732,ANESTH DX ELBOW ARTHROSCOPY             ,2.71
01740,ANESTH UPPER ARM SURGERY                ,3.61
01742,ANESTH HUMERUS SURGERY                  ,4.52
01744,ANESTH HUMERUS REPAIR                   ,4.52
01756,ANESTH RADICAL HUMERUS SURG             ,5.42
01758,ANESTH HUMERAL LESION SURG              ,4.52
01760,ANESTH ELBOW REPLACEMENT                ,6.32
01770,ANESTH UPPR ARM ARTERY SURG             ,5.42
01772,ANESTH UPPR ARM EMBOLECTOMY             ,5.42
01780,ANESTH UPPER ARM VEIN SURG              ,2.71
01782,ANESTH UPPR ARM VEIN REPAIR             ,3.61
01810,ANESTH LOWER ARM SURGERY                ,2.71
01820,ANESTH LOWER ARM PROCEDURE              ,2.71
01829,ANESTH DX WRIST ARTHROSCOPY             ,2.71
01830,ANESTH LOWER ARM SURGERY                ,2.71
01832,ANESTH WRIST REPLACEMENT                ,5.42
01840,ANESTH LWR ARM ARTERY SURG              ,5.42
01842,ANESTH LWR ARM EMBOLECTOMY              ,5.42
01844,ANESTH VASCULAR SHUNT SURG              ,5.42
01850,ANESTH LOWER ARM VEIN SURG              ,2.71
01852,ANESTH LWR ARM VEIN REPAIR              ,3.61
01860,ANESTH LOWER ARM CASTING                ,2.71
01916,ANESTH DX ARTERIOGRAPHY                 ,4.52
01920,ANESTH CATHETERIZE HEART                ,6.32
01922,ANESTH CAT OR MRI SCAN                  ,6.32
01924,ANES THER INTERVEN RAD ARTRL            ,4.52
01925,ANES THER INTERVEN RAD CARD             ,6.32
01926,ANES TX INTERV RAD HRT/CRAN             ,7.22
01930,ANES THER INTERVEN RAD VEIN             ,4.52
01931,ANES THER INTERVEN RAD TIPS             ,6.32
01932,ANES TX INTERV RAD TH VEIN              ,5.42
01933,ANES TX INTERV RAD CRAN VEIN            ,6.32
01951,ANESTH BURN LESS 4 PERCENT              ,2.71
01952,ANESTH BURN 4-9 PERCENT                 ,4.52
01953,ANESTH BURN EACH 9 PERCENT              ,0.9
01958,ANESTH ANTEPARTUM MANIPUL               ,4.52
01960,ANESTH VAGINAL DELIVERY                 ,4.52
01961,ANESTH CS DELIVERY                      ,6.32
01962,ANESTH EMER HYSTERECTOMY                ,5.93
01963,ANESTH CS HYSTERECTOMY                  ,5.93
01965,ANESTH INC/MISSED AB PROC               ,3.61
01966,ANESTH INDUCED AB PROCEDURE             ,3.61
01967,ANESTH/ANALG VAG DELIVERY               ,4.52
01968,ANES/ANALG CS DELIVER ADDON             ,1.81
01969,ANESTH/ANALG CS HYST ADDON              ,4.52
01990,SUPPORT FOR ORGAN DONOR                 ,6.32
01991,ANESTH NERVE BLOCK/INJ                  ,2.71
01992,ANESTH N BLOCK/INJ PRONE                ,4.52
01996,HOSP MANAGE CONT DRUG ADMIN             ,2.71
